1737978009930|0|statement|connection 4|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar76'
1737978009930|0|statement|connection 5|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar34'
1737978009930|0|statement|connection 1|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar61'
1737978009930|0|statement|connection 0|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar17'
1737978009930|0|statement|connection 9|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar52'
1737978009930|0|statement|connection 2|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar60'
1737978009930|0|statement|connection 8|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar96'
1737978009930|1|statement|connection 3|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar15'
1737978009931|0|statement|connection 4|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar10'
1737978009931|1|statement|connection 7|url jdbc:p6spy:h2:tcp://localhost/~/h2DB|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name=?|select pokemon0_.id as id1_0_, pokemon0_.name as name2_0_, pokemon0_.score as score3_0_, pokemon0_.version as version4_0_ from pokemon pokemon0_ where pokemon0_.name='balbuzar41'
